id,name,gender,birth_month,registration_fee
81,GEORGE,M,Apr-2013,104.0
82,OLIVER,M,Jun-2008,107.0
83,ZOEY,F,Apr-2010,106.0
85,DAKOTA,F,Jul-2011,106.0
86,COOPER ,M,Apr-2011,503.0
87,ROCKY,M,Jul-2014,503.0
88,NALA,F,Apr-2013,107.0
89,KONA,M,Jun-2008,106.0
90,WALTER,M,Sep-2010,406.0
91,KIRBY ,M,Oct-2009,401.0
92,KIMBERLY ,F,Jun-2011,314.0
93,COSMO,M,Apr-2009,106.0
94,BOO,F,Jul-2013,301.0
95,NOVA,F,May-2010,206.0
96,ZOE,F,Jun-2014,402.0
97,ZOE ,F,Sep-2009,212.0
98,SPUDS ,M,Sep-2010,210.0
100,SAMMY ,M,Jan-2006,104.0
101,CHARLIE ,M,Feb-2008,108.0
102,BELLA,F,Jul-2012,102.0
103,MAX ,M,Feb-2005,107.0
104,MARTY,M,Apr-2009,104.0
105,POPPETT,F,Feb-2011,107.0
106,MOLLIE,F,Dec-2012,311.0
107,SEBASTIAN,M,Jan-2004,108.0
108,MONEYPENNY,F,May-2014,306.0
109,JACK ,M,Jul-2010,411.0
110,RUSTY,M,Jan-2005,312.0
111,MIDORI,F,May-2008,105.0
112,APOLLO ,M,Apr-2011,208.0
113,PHILLIP ,M,Apr-2011,208.0
114,SPARKY,M,Oct-2010,206.0
115,SMOKEY,M,Nov-2013,104.0
116,SNOOPY,M,Jun-2012,201.0
117,GRAISY,F,May-2009,211.0
118,GIGI,F,Nov-2009,306.0
119,BUTTERFLY ,F,May-2012,107.0
121,CURTIS ,M,Oct-2010,306.0
122,KATE ,F,Apr-2011,208.0
123,WILLIAM ,M,Apr-2011,208.0
124,PENNY,F,Nov-2013,302.0
125,ANDY,M,Jun-2010,404.0
126,LISSY,F,Jun-2010,404.0
127,MAX,M,May-2010,307.0
128,COCO ,F,Jul-2014,311.0
129,TESLA,F,Feb-2013,304.0
130,GUNTHER,M,May-2010,108.0
131,BELLE,F,Oct-2006,307.0
132,COCO ,F,Jul-2002,109.0
133,JETT,M,Nov-2009,304.0
134,JOCKI,F,Dec-2008,208.0
135,MINNIE,F,Dec-2007,302.0
136,SASHA,F,Apr-2014,405.0
137,ROSIE ,F,Sep-2013,101.0
138,AUGUSTA,F,Mar-2001,302.0
139,COOPER,M,May-2008,306.0
140,ZOEY,F,Mar-2014,501.0
141,NINA,F,Nov-2005,107.0
142,BRUTUS,M,Apr-2013,401.0
143,ANDY,F,Nov-2013,302.0
144,PATCH,M,Nov-2004,106.0
145,SOLO,M,Jan-2008,318.0
146,BRANDO,M,Aug-2012,407.0
147,WOODY,M,Jan-2010,302.0
148,ZOE ,F,Jan-2004,306.0
149,ROXY,M,Aug-2004,104.0
150,CHAUNCEY ,M,Aug-2006,208.0
151,CHANCE,M,Jun-2008,318.0
152,MICA ,F,Jan-2005,301.0
153,JELLY,F,May-2014,411.0
154,RIGGINS,F,Aug-2011,107.0
155,TYLER ,M,Jan-2008,301.0
156,MAGGIE ,F,Jul-2013,107.0
157,HANNAH,F,Feb-2014,104.0
158,MIA ,F,Oct-2011,301.0
159,CHASE ,M,Jan-2007,310.0
160,LEXY,F,Jun-2007,502.0
161,DAKOTA,F,Mar-2014,105.0
162,DAISY,F,Jun-2014,101.0
163,STELLA,F,Oct-2013,402.0
164,FIONA,F,Nov-2013,108.0
165,APOLLO,M,Apr-2010,208.0
166,EVEYLYN ,F,Dec-2008,104.0
167,PARKER,M,Apr-2014,503.0
168,STORM,F,Jul-2012,310.0
169,NENA,F,Jan-2007,209.0
170,LEOPOLD,M,Aug-2008,107.0
171,PIPER,F,Jan-2014,102.0
172,RASCAL,M,Aug-2010,501.0
174,IVORY,F,Jan-2004,210.0
175,CHUNK,M,May-2011,104.0
176,JULIUS ,M,Mar-2008,307.0
177,SHADOW,F,Apr-1999,503.0
178,RUMI ,M,Apr-2011,108.0
179,HENDRIX,M,Jul-2014,104.0
180,TED ,M,Aug-2011,304.0
181,BEAR,M,Dec-2013,102.0
182,BAMBA,M,May-2011,302.0
183,ALI,M,May-2009,501.0
184,OREO ,F,Sep-2005,110.0
185,SPEEDY,M,Jan-2007,318.0
186,GRAYSON ,M,Dec-2012,304.0
187,ABBEY,F,Aug-2013,414.0
188,ANGEL ,F,Jan-2003,211.0
189,LOLA,F,Mar-2014,112.0
190,LAWRENCE,M,Jul-2010,107.0
191,DEMO,M,Feb-2009,411.0
192,ZIGGY ,M,Jan-2007,208.0
193,WEEZY,M,Jul-2006,112.0
194,EMMA ,F,Sep-2013,414.0
195,PRINCESS ,F,Mar-2008,401.0
196,BO,M,Jun-2011,403.0
197,MASON,M,Jan-2014,112.0
198,CHOCOLATE,F,Jan-2007,305.0
199,SCOOBIE ,M,Jan-2005,304.0
200,COCO,F,May-2008,304.0
201,CHRISTMAS,F,Nov-2008,106.0
202,CHASE,M,Aug-2011,410.0
203,BIANCA,F,Jan-2006,107.0
204,BONNIE,F,May-2009,411.0
205,HARLEY ,F,Mar-2014,106.0
